report_month,price_range,range_min,range_max,range_rank,listings,sales_prev_12mo,months_inventory,source_pdf,parsed_at,built_at
2024-08,"$625,000 - $749,999",625000.0,749999.0,6,3384.0,8442.0,4.8,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$750,000 - $874,999",750000.0,874999.0,7,2125.0,4673.0,5.5,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,"$875,000 - $999,999",875000.0,999999.0,8,1534.0,3025.0,6.1,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,$1M - $1.99M,1000000.0,1990000.0,9,3201.0,5304.0,7.2,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-08,$2M and up,2000000.0,,10,1148.0,1124.0,12.3,data\pdfs\nc_housing_2024-08.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"Below $125,000",0.0,125000.0,1,1236.0,4416.0,3.4,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$125,000 - $249,999",125000.0,249999.0,2,7719.0,26586.0,3.5,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$250,000 - $374,999",250000.0,374999.0,3,15220.0,45264.0,4.0,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$375,000 - $499,999",375000.0,499999.0,4,12219.0,30839.0,4.8,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$500,000 - $624,999",500000.0,624999.0,5,5546.0,13448.0,5.0,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$625,000 - $749,999",625000.0,749999.0,6,3516.0,8365.0,5.0,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$750,000 - $874,999",750000.0,874999.0,7,2107.0,4714.0,5.4,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,"$875,000 - $999,999",875000.0,999999.0,8,1514.0,3036.0,6.0,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,$1M - $1.99M,1000000.0,1990000.0,9,3329.0,5375.0,7.4,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-09,$2M and up,2000000.0,,10,1154.0,1147.0,12.1,data\pdfs\nc_housing_2024-09.pdf,2026-03-04 11:14:37,2026-03-10 19:30:26
2024-10,"Below $125,000",0.0,125000.0,1,1274.0,4230.0,3.6,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$125,000 - $249,999",125000.0,249999.0,2,7839.0,26180.0,3.6,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$250,000 - $374,999",250000.0,374999.0,3,15526.0,45334.0,4.1,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$375,000 - $499,999",375000.0,499999.0,4,12076.0,30886.0,4.7,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$500,000 - $624,999",500000.0,624999.0,5,5456.0,13463.0,4.9,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$625,000 - $749,999",625000.0,749999.0,6,3451.0,8377.0,4.9,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$750,000 - $874,999",750000.0,874999.0,7,2049.0,4765.0,5.2,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,"$875,000 - $999,999",875000.0,999999.0,8,1470.0,3072.0,5.7,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,$1M - $1.99M,1000000.0,1990000.0,9,3178.0,5365.0,7.1,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-10,$2M and up,2000000.0,,10,1083.0,1186.0,11.1,data\pdfs\nc_housing_2024-10.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"Below $125,000",0.0,125000.0,1,1310.0,4132.0,3.8,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$125,000 - $249,999",125000.0,249999.0,2,8100.0,26091.0,3.7,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$250,000 - $374,999",250000.0,374999.0,3,15102.0,45402.0,4.0,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$375,000 - $499,999",375000.0,499999.0,4,11467.0,31111.0,4.4,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$500,000 - $624,999",500000.0,624999.0,5,5201.0,13589.0,4.6,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$625,000 - $749,999",625000.0,749999.0,6,3393.0,8381.0,4.9,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$750,000 - $874,999",750000.0,874999.0,7,1910.0,4792.0,4.8,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,"$875,000 - $999,999",875000.0,999999.0,8,1401.0,3098.0,5.4,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,$1M - $1.99M,1000000.0,1990000.0,9,2976.0,5419.0,6.6,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-11,$2M and up,2000000.0,,10,1027.0,1203.0,10.3,data\pdfs\nc_housing_2024-11.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"Below $125,000",0.0,125000.0,1,1267.0,4054.0,3.8,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$125,000 - $249,999",125000.0,249999.0,2,7758.0,26136.0,3.6,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2024-12,"$250,000 - $374,999",250000.0,374999.0,3,15230.0,47705.0,3.8,data\pdfs\nc_housing_2024-12.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
